Sex,Age Group,Year,Citizen category,Ethnic,Population ('000)
Female,9-May,2010,Non-Malaysian citizens,Foreigner,25.146
Female,14-Oct,2010,Malaysian citizens,Bumiputera,917.91
Female,14-Oct,2010,Malaysian citizens,Chinese,254.839
Female,14-Oct,2010,Malaysian citizens,Indians,87.562
Female,14-Oct,2010,Malaysian citizens,Others,13.041
Female,14-Oct,2010,Non-Malaysian citizens,Foreigner,22.286
Female,15-19,2010,Malaysian citizens,Bumiputera,930.062
Female,15-19,2010,Malaysian citizens,Chinese,267.004
Female,15-19,2010,Malaysian citizens,Indians,89.276
Female,15-19,2010,Malaysian citizens,Others,12.66
Female,15-19,2010,Non-Malaysian citizens,Foreigner,84.612
Female,20-24,2010,Malaysian citizens,Bumiputera,865.002
Female,20-24,2010,Malaysian citizens,Chinese,265.697
Female,20-24,2010,Malaysian citizens,Indians,90.248
Female,20-24,2010,Malaysian citizens,Others,11.897
Female,20-24,2010,Non-Malaysian citizens,Foreigner,175.121
Female,25-29,2010,Malaysian citizens,Bumiputera,771.419
Female,25-29,2010,Malaysian citizens,Chinese,261.835
Female,25-29,2010,Malaysian citizens,Indians,87.939
Female,25-29,2010,Malaysian citizens,Others,9.716
Female,25-29,2010,Non-Malaysian citizens,Foreigner,179.836
Female,30-34,2010,Malaysian citizens,Bumiputera,589.744
Female,30-34,2010,Malaysian citizens,Chinese,231.069
Female,30-34,2010,Malaysian citizens,Indians,72.716
Female,30-34,2010,Malaysian citizens,Others,6.493
Female,30-34,2010,Non-Malaysian citizens,Foreigner,119.258
Female,35-39,2010,Malaysian citizens,Bumiputera,545.53
Female,35-39,2010,Malaysian citizens,Chinese,225.207
Female,35-39,2010,Malaysian citizens,Indians,66.883
Female,35-39,2010,Malaysian citizens,Others,5.584
Female,35-39,2010,Non-Malaysian citizens,Foreigner,97.85
Female,40-44,2010,Malaysian citizens,Bumiputera,514.824
Female,40-44,2010,Malaysian citizens,Chinese,228.219
Female,40-44,2010,Malaysian citizens,Indians,66.607
Female,40-44,2010,Malaysian citizens,Others,5.325
Female,40-44,2010,Non-Malaysian citizens,Foreigner,68.082
Female,45-49,2010,Malaysian citizens,Bumiputera,459.678
Female,45-49,2010,Malaysian citizens,Chinese,206.629
Female,45-49,2010,Malaysian citizens,Indians,62.744
Female,45-49,2010,Malaysian citizens,Others,4.623
Female,45-49,2010,Non-Malaysian citizens,Foreigner,40.532
Female,50-54,2010,Malaysian citizens,Bumiputera,392.662
Female,50-54,2010,Malaysian citizens,Chinese,186.876
Female,50-54,2010,Malaysian citizens,Indians,55.856
Female,50-54,2010,Malaysian citizens,Others,3.729
Female,50-54,2010,Non-Malaysian citizens,Foreigner,25.002
Female,55-59,2010,Malaysian citizens,Bumiputera,301.303
Female,55-59,2010,Malaysian citizens,Chinese,157.724
Female,55-59,2010,Malaysian citizens,Indians,42.347
Female,55-59,2010,Malaysian citizens,Others,2.578
Female,55-59,2010,Non-Malaysian citizens,Foreigner,15.121
Female,60-64,2010,Malaysian citizens,Bumiputera,229.032
Female,60-64,2010,Malaysian citizens,Chinese,133.173
Female,60-64,2010,Malaysian citizens,Indians,32.33
Female,60-64,2010,Malaysian citizens,Others,1.828
Female,60-64,2010,Non-Malaysian citizens,Foreigner,10.367
Female,65-69,2010,Malaysian citizens,Bumiputera,152.379
Female,65-69,2010,Malaysian citizens,Chinese,89.844
Female,65-69,2010,Malaysian citizens,Indians,17.496
Female,65-69,2010,Malaysian citizens,Others,1.291
Female,65-69,2010,Non-Malaysian citizens,Foreigner,6.61
Female,70-74,2010,Malaysian citizens,Bumiputera,118.762
Female,70-74,2010,Malaysian citizens,Chinese,70.909
Female,70-74,2010,Malaysian citizens,Indians,13.757
Female,70-74,2010,Malaysian citizens,Others,0.872
Female,70-74,2010,Non-Malaysian citizens,Foreigner,4.328
Female,75-79,2010,Malaysian citizens,Bumiputera,69.408
Female,75-79,2010,Malaysian citizens,Chinese,41.562
Female,75-79,2010,Malaysian citizens,Indians,8.854
Female,75-79,2010,Malaysian citizens,Others,0.595
Female,75-79,2010,Non-Malaysian citizens,Foreigner,3.029
Female,80+,2010,Malaysian citizens,Bumiputera,78.41
Female,80+,2010,Malaysian citizens,Chinese,45.554
Female,80+,2010,Malaysian citizens,Indians,7.986
Female,80+,2010,Malaysian citizens,Others,0.736
Female,80+,2010,Non-Malaysian citizens,Foreigner,4.875
Male,00-04,2011,Malaysian citizens,Bumiputera,940.3
Male,00-04,2011,Malaysian citizens,Chinese,215.9
Male,00-04,2011,Malaysian citizens,Indians,74.2
Male,00-04,2011,Malaysian citizens,Others,20.7
Male,00-04,2011,Non-Malaysian citizens,Foreigner,37
Male,9-May,2011,Malaysian citizens,Bumiputera,967.7
Male,9-May,2011,Malaysian citizens,Chinese,247.1
Male,9-May,2011,Malaysian citizens,Indians,84.2
Male,9-May,2011,Malaysian citizens,Others,16.6
Male,9-May,2011,Non-Malaysian citizens,Foreigner,29.2
Male,14-Oct,2011,Malaysian citizens,Bumiputera,968.2
Male,14-Oct,2011,Malaysian citizens,Chinese,267.2
Male,14-Oct,2011,Malaysian citizens,Indians,89.7
Male,14-Oct,2011,Malaysian citizens,Others,14.4
Male,14-Oct,2011,Non-Malaysian citizens,Foreigner,25.7
Male,15-19,2011,Malaysian citizens,Bumiputera,960.5
Male,15-19,2011,Malaysian citizens,Chinese,282.2
Male,15-19,2011,Malaysian citizens,Indians,91.1
Male,15-19,2011,Malaysian citizens,Others,13.4
Male,15-19,2011,Non-Malaysian citizens,Foreigner,118
Male,20-24,2011,Malaysian citizens,Bumiputera,880.6
Male,20-24,2011,Malaysian citizens,Chinese,271.9
Male,20-24,2011,Malaysian citizens,Indians,94
Male,20-24,2011,Malaysian citizens,Others,12.4
Male,20-24,2011,Non-Malaysian citizens,Foreigner,276.6
Male,25-29,2011,Malaysian citizens,Bumiputera,806.3
Male,25-29,2011,Malaysian citizens,Chinese,271
Male,25-29,2011,Malaysian citizens,Indians,91.5
Male,25-29,2011,Malaysian citizens,Others,10.5
Male,25-29,2011,Non-Malaysian citizens,Foreigner,341.6
Male,30-34,2011,Malaysian citizens,Bumiputera,636.8
Male,30-34,2011,Malaysian citizens,Chinese,255.3
Male,30-34,2011,Malaysian citizens,Indians,79.1
Male,30-34,2011,Malaysian citizens,Others,6.5
Male,30-34,2011,Non-Malaysian citizens,Foreigner,229.5
Male,35-39,2011,Malaysian citizens,Bumiputera,551.9
Male,35-39,2011,Malaysian citizens,Chinese,244.5
Male,35-39,2011,Malaysian citizens,Indians,68.7
Male,35-39,2011,Malaysian citizens,Others,4.9
Male,35-39,2011,Non-Malaysian citizens,Foreigner,159.1
Male,40-44,2011,Malaysian citizens,Bumiputera,510.1
Male,40-44,2011,Malaysian citizens,Chinese,235.2
Male,40-44,2011,Malaysian citizens,Indians,63
Male,40-44,2011,Malaysian citizens,Others,4.9
Male,40-44,2011,Non-Malaysian citizens,Foreigner,103.9
Male,45-49,2011,Malaysian citizens,Bumiputera,481.1
Male,45-49,2011,Malaysian citizens,Chinese,234.5
Male,45-49,2011,Malaysian citizens,Indians,63.6
Male,45-49,2011,Malaysian citizens,Others,4.8
Male,45-49,2011,Non-Malaysian citizens,Foreigner,66.5
Male,50-54,2011,Malaysian citizens,Bumiputera,412.1
Male,50-54,2011,Malaysian citizens,Chinese,214.5
Male,50-54,2011,Malaysian citizens,Indians,56.6
Male,50-54,2011,Malaysian citizens,Others,4.7
Male,50-54,2011,Non-Malaysian citizens,Foreigner,42.2
Male,55-59,2011,Malaysian citizens,Bumiputera,320.2
Male,55-59,2011,Malaysian citizens,Chinese,179
Male,55-59,2011,Malaysian citizens,Indians,43
Male,55-59,2011,Malaysian citizens,Others,3.7
Male,55-59,2011,Non-Malaysian citizens,Foreigner,23.2
Male,60-64,2011,Malaysian citizens,Bumiputera,237.5
Male,60-64,2011,Malaysian citizens,Chinese,150.4
Male,60-64,2011,Malaysian citizens,Indians,31.6
Male,60-64,2011,Malaysian citizens,Others,2.2
Male,60-64,2011,Non-Malaysian citizens,Foreigner,14.6
Male,65-69,2011,Malaysian citizens,Bumiputera,152.7
Male,65-69,2011,Malaysian citizens,Chinese,105.6
Male,65-69,2011,Malaysian citizens,Indians,17.3
Male,65-69,2011,Malaysian citizens,Others,1.5
Male,65-69,2011,Non-Malaysian citizens,Foreigner,8.7
Male,70-74,2011,Malaysian citizens,Bumiputera,108.7
Male,70-74,2011,Malaysian citizens,Chinese,79.2
Male,70-74,2011,Malaysian citizens,Indians,11.7
Male,70-74,2011,Malaysian citizens,Others,1
Male,70-74,2011,Non-Malaysian citizens,Foreigner,5.8
Male,75-79,2011,Malaysian citizens,Bumiputera,61.9
Male,75-79,2011,Malaysian citizens,Chinese,43.9
Male,75-79,2011,Malaysian citizens,Indians,7.3
Male,75-79,2011,Malaysian citizens,Others,0.7
Male,75-79,2011,Non-Malaysian citizens,Foreigner,3.6
Male,80+,2011,Malaysian citizens,Bumiputera,61.7
Male,80+,2011,Malaysian citizens,Chinese,36.6
Male,80+,2011,Malaysian citizens,Indians,6.6
Male,80+,2011,Malaysian citizens,Others,0.8
Male,80+,2011,Non-Malaysian citizens,Foreigner,5.8
Female,00-04,2011,Malaysian citizens,Bumiputera,891.6
Female,00-04,2011,Malaysian citizens,Chinese,201.2
Female,00-04,2011,Malaysian citizens,Indians,71.2
Female,00-04,2011,Malaysian citizens,Others,19
Female,00-04,2011,Non-Malaysian citizens,Foreigner,34.4
Female,9-May,2011,Malaysian citizens,Bumiputera,920.6
Female,9-May,2011,Malaysian citizens,Chinese,232.7
Female,9-May,2011,Malaysian citizens,Indians,80.4
Female,9-May,2011,Malaysian citizens,Others,15.4
Female,9-May,2011,Non-Malaysian citizens,Foreigner,26
Female,14-Oct,2011,Malaysian citizens,Bumiputera,922.9
Female,14-Oct,2011,Malaysian citizens,Chinese,254.5
Female,14-Oct,2011,Malaysian citizens,Indians,86.7
Female,14-Oct,2011,Malaysian citizens,Others,13.4
Female,14-Oct,2011,Non-Malaysian citizens,Foreigner,22.9
Female,15-19,2011,Malaysian citizens,Bumiputera,932.4
Female,15-19,2011,Malaysian citizens,Chinese,265.6
Female,15-19,2011,Malaysian citizens,Indians,88.8
Female,15-19,2011,Malaysian citizens,Others,12.6
Female,15-19,2011,Non-Malaysian citizens,Foreigner,88
Female,20-24,2011,Malaysian citizens,Bumiputera,878.7
Female,20-24,2011,Malaysian citizens,Chinese,265.9
Female,20-24,2011,Malaysian citizens,Indians,90
Female,20-24,2011,Malaysian citizens,Others,12.2
Female,20-24,2011,Non-Malaysian citizens,Foreigner,182.6
Female,25-29,2011,Malaysian citizens,Bumiputera,798.5
Female,25-29,2011,Malaysian citizens,Chinese,264.8
Female,25-29,2011,Malaysian citizens,Indians,89.5
Female,25-29,2011,Malaysian citizens,Others,10.3
Female,25-29,2011,Non-Malaysian citizens,Foreigner,187.5
Female,30-34,2011,Malaysian citizens,Bumiputera,618
Female,30-34,2011,Malaysian citizens,Chinese,235.7
Female,30-34,2011,Malaysian citizens,Indians,75.4
Female,30-34,2011,Malaysian citizens,Others,7
Female,30-34,2011,Non-Malaysian citizens,Foreigner,124.2
Female,35-39,2011,Malaysian citizens,Bumiputera,549.2
Female,35-39,2011,Malaysian citizens,Chinese,224.4
Female,35-39,2011,Malaysian citizens,Indians,67.1
Female,35-39,2011,Malaysian citizens,Others,5.7
Female,35-39,2011,Non-Malaysian citizens,Foreigner,101.9
Female,40-44,2011,Malaysian citizens,Bumiputera,521.8
Female,40-44,2011,Malaysian citizens,Chinese,229.2
Female,40-44,2011,Malaysian citizens,Indians,66.6
Female,40-44,2011,Malaysian citizens,Others,5.4
Female,40-44,2011,Non-Malaysian citizens,Foreigner,71.3
Female,45-49,2011,Malaysian citizens,Bumiputera,471
Female,45-49,2011,Malaysian citizens,Chinese,210.9
Female,45-49,2011,Malaysian citizens,Indians,63.6
Female,45-49,2011,Malaysian citizens,Others,4.8
Female,45-49,2011,Non-Malaysian citizens,Foreigner,42.8
Female,50-54,2011,Malaysian citizens,Bumiputera,406.6
Female,50-54,2011,Malaysian citizens,Chinese,191.1
Female,50-54,2011,Malaysian citizens,Indians,57.5
Female,50-54,2011,Malaysian citizens,Others,3.9
Female,50-54,2011,Non-Malaysian citizens,Foreigner,26.6
Female,55-59,2011,Malaysian citizens,Bumiputera,316.3
Female,55-59,2011,Malaysian citizens,Chinese,162.4
Female,55-59,2011,Malaysian citizens,Indians,44.5
Female,55-59,2011,Malaysian citizens,Others,2.8
Female,55-59,2011,Non-Malaysian citizens,Foreigner,16
Female,60-64,2011,Malaysian citizens,Bumiputera,241.1
Female,60-64,2011,Malaysian citizens,Chinese,138.6
Female,60-64,2011,Malaysian citizens,Indians,34.3
Female,60-64,2011,Malaysian citizens,Others,1.9
Female,60-64,2011,Non-Malaysian citizens,Foreigner,10.8
Female,65-69,2011,Malaysian citizens,Bumiputera,161.1
Female,65-69,2011,Malaysian citizens,Chinese,95.9
Female,65-69,2011,Malaysian citizens,Indians,19.4
Female,65-69,2011,Malaysian citizens,Others,1.4
Female,65-69,2011,Non-Malaysian citizens,Foreigner,6.9
Female,70-74,2011,Malaysian citizens,Bumiputera,122.2
Female,70-74,2011,Malaysian citizens,Chinese,73.5
Female,70-74,2011,Malaysian citizens,Indians,13.9
Female,70-74,2011,Malaysian citizens,Others,0.9
Female,70-74,2011,Non-Malaysian citizens,Foreigner,4.3
Female,75-79,2011,Malaysian citizens,Bumiputera,72.8
Female,75-79,2011,Malaysian citizens,Chinese,44.4
Female,75-79,2011,Malaysian citizens,Indians,9.3
Female,75-79,2011,Malaysian citizens,Others,0.6
Female,75-79,2011,Non-Malaysian citizens,Foreigner,3.1
Female,80+,2011,Malaysian citizens,Bumiputera,80.8
Female,80+,2011,Malaysian citizens,Chinese,46.4
Female,80+,2011,Malaysian citizens,Indians,8.5
Female,80+,2011,Malaysian citizens,Others,0.7
Female,80+,2011,Non-Malaysian citizens,Foreigner,4.9
Male,00-04,2012,Malaysian citizens,Bumiputera,949.7
Male,00-04,2012,Malaysian citizens,Chinese,211.2
Male,00-04,2012,Malaysian citizens,Indians,71.9
Male,00-04,2012,Malaysian citizens,Others,21.3
Male,00-04,2012,Non-Malaysian citizens,Foreigner,45.9
Male,9-May,2012,Malaysian citizens,Bumiputera,955.3
Male,9-May,2012,Malaysian citizens,Chinese,240.9
Male,9-May,2012,Malaysian citizens,Indians,81.9
Male,9-May,2012,Malaysian citizens,Others,17.3
Male,9-May,2012,Non-Malaysian citizens,Foreigner,29.8
Male,14-Oct,2012,Malaysian citizens,Bumiputera,973.8
Male,14-Oct,2012,Malaysian citizens,Chinese,264.9
Male,14-Oct,2012,Malaysian citizens,Indians,89.3
Male,14-Oct,2012,Malaysian citizens,Others,14.6
Male,14-Oct,2012,Non-Malaysian citizens,Foreigner,26.3
Male,15-19,2012,Malaysian citizens,Bumiputera,962.8
Male,15-19,2012,Malaysian citizens,Chinese,279
Male,15-19,2012,Malaysian citizens,Indians,90.6
Male,15-19,2012,Malaysian citizens,Others,13.6
Male,15-19,2012,Non-Malaysian citizens,Foreigner,122.9
Male,20-24,2012,Malaysian citizens,Bumiputera,899.1
Male,20-24,2012,Malaysian citizens,Chinese,275.1
Male,20-24,2012,Malaysian citizens,Indians,93.5
Male,20-24,2012,Malaysian citizens,Others,12.9
Male,20-24,2012,Non-Malaysian citizens,Foreigner,288
Male,25-29,2012,Malaysian citizens,Bumiputera,819.4
Male,25-29,2012,Malaysian citizens,Chinese,270.5
Male,25-29,2012,Malaysian citizens,Indians,92.5
Male,25-29,2012,Malaysian citizens,Others,11
Male,25-29,2012,Non-Malaysian citizens,Foreigner,354.2
Male,30-34,2012,Malaysian citizens,Bumiputera,672.3
Male,30-34,2012,Malaysian citizens,Chinese,258.2
Male,30-34,2012,Malaysian citizens,Indians,81.6
Male,30-34,2012,Malaysian citizens,Others,7.2
Male,30-34,2012,Non-Malaysian citizens,Foreigner,238.1
Male,35-39,2012,Malaysian citizens,Bumiputera,557.7
Male,35-39,2012,Malaysian citizens,Chinese,245.2
Male,35-39,2012,Malaysian citizens,Indians,69.6
Male,35-39,2012,Malaysian citizens,Others,5
Male,35-39,2012,Non-Malaysian citizens,Foreigner,164.7
Male,40-44,2012,Malaysian citizens,Bumiputera,515.4
Male,40-44,2012,Malaysian citizens,Chinese,235.9
Male,40-44,2012,Malaysian citizens,Indians,63.1
Male,40-44,2012,Malaysian citizens,Others,4.8
Male,40-44,2012,Non-Malaysian citizens,Foreigner,107
Male,45-49,2012,Malaysian citizens,Bumiputera,485.5
Male,45-49,2012,Malaysian citizens,Chinese,234
Male,45-49,2012,Malaysian citizens,Indians,62.8
Male,45-49,2012,Malaysian citizens,Others,4.8
Male,45-49,2012,Non-Malaysian citizens,Foreigner,68.6
Male,50-54,2012,Malaysian citizens,Bumiputera,425.8
Male,50-54,2012,Malaysian citizens,Chinese,219
Male,50-54,2012,Malaysian citizens,Indians,57.9
Male,50-54,2012,Malaysian citizens,Others,4.7
Male,50-54,2012,Non-Malaysian citizens,Foreigner,43.9
Male,55-59,2012,Malaysian citizens,Bumiputera,334.4
Male,55-59,2012,Malaysian citizens,Chinese,184.3
Male,55-59,2012,Malaysian citizens,Indians,45
Male,55-59,2012,Malaysian citizens,Others,4
Male,55-59,2012,Non-Malaysian citizens,Foreigner,24.6
Male,60-64,2012,Malaysian citizens,Bumiputera,248.8
Male,60-64,2012,Malaysian citizens,Chinese,154.2
Male,60-64,2012,Malaysian citizens,Indians,32.9
Male,60-64,2012,Malaysian citizens,Others,2.4
Male,60-64,2012,Non-Malaysian citizens,Foreigner,15.2
Male,65-69,2012,Malaysian citizens,Bumiputera,163.2
Male,65-69,2012,Malaysian citizens,Chinese,112.5
Male,65-69,2012,Malaysian citizens,Indians,19.5
Male,65-69,2012,Malaysian citizens,Others,1.5
Male,65-69,2012,Non-Malaysian citizens,Foreigner,9
Male,70-74,2012,Malaysian citizens,Bumiputera,110.1
Male,70-74,2012,Malaysian citizens,Chinese,80.4
Male,70-74,2012,Malaysian citizens,Indians,11.6
Male,70-74,2012,Malaysian citizens,Others,1.1
Male,70-74,2012,Non-Malaysian citizens,Foreigner,5.8
Male,75-79,2012,Malaysian citizens,Bumiputera,66.3
Male,75-79,2012,Malaysian citizens,Chinese,48.6
Male,75-79,2012,Malaysian citizens,Indians,7.7
Male,75-79,2012,Malaysian citizens,Others,0.6
Male,75-79,2012,Non-Malaysian citizens,Foreigner,3.7
Male,80+,2012,Malaysian citizens,Bumiputera,63.5
Male,80+,2012,Malaysian citizens,Chinese,38.3
Male,80+,2012,Malaysian citizens,Indians,6.9
Male,80+,2012,Malaysian citizens,Others,0.7
Male,80+,2012,Non-Malaysian citizens,Foreigner,6.1
Female,00-04,2012,Malaysian citizens,Bumiputera,897.5
Female,00-04,2012,Malaysian citizens,Chinese,196
Female,00-04,2012,Malaysian citizens,Indians,69.3
Female,00-04,2012,Malaysian citizens,Others,19.5
Female,00-04,2012,Non-Malaysian citizens,Foreigner,42.5
Female,9-May,2012,Malaysian citizens,Bumiputera,909.7
Female,9-May,2012,Malaysian citizens,Chinese,226.3
Female,9-May,2012,Malaysian citizens,Indians,78.1
Female,9-May,2012,Malaysian citizens,Others,16
Female,9-May,2012,Non-Malaysian citizens,Foreigner,26.7
Female,14-Oct,2012,Malaysian citizens,Bumiputera,927
Female,14-Oct,2012,Malaysian citizens,Chinese,251.7
Female,14-Oct,2012,Malaysian citizens,Indians,85.3
Female,14-Oct,2012,Malaysian citizens,Others,13.6
Female,14-Oct,2012,Non-Malaysian citizens,Foreigner,23.5
Female,15-19,2012,Malaysian citizens,Bumiputera,929.4
Female,15-19,2012,Malaysian citizens,Chinese,263
Female,15-19,2012,Malaysian citizens,Indians,88.2
Female,15-19,2012,Malaysian citizens,Others,12.9
Female,15-19,2012,Non-Malaysian citizens,Foreigner,91.3
Female,20-24,2012,Malaysian citizens,Bumiputera,891.2
Female,20-24,2012,Malaysian citizens,Chinese,266.5
Female,20-24,2012,Malaysian citizens,Indians,89.7
Female,20-24,2012,Malaysian citizens,Others,12.3
Female,20-24,2012,Non-Malaysian citizens,Foreigner,189.2
Female,25-29,2012,Malaysian citizens,Bumiputera,816.6
Female,25-29,2012,Malaysian citizens,Chinese,266.3
Female,25-29,2012,Malaysian citizens,Indians,89.9
Female,25-29,2012,Malaysian citizens,Others,10.7
Female,25-29,2012,Non-Malaysian citizens,Foreigner,193.3
Female,30-34,2012,Malaysian citizens,Bumiputera,654.1
Female,30-34,2012,Malaysian citizens,Chinese,241.9
Female,30-34,2012,Malaysian citizens,Indians,78.7
Female,30-34,2012,Malaysian citizens,Others,7.6
Female,30-34,2012,Non-Malaysian citizens,Foreigner,128.6
Female,35-39,2012,Malaysian citizens,Bumiputera,551.7
Female,35-39,2012,Malaysian citizens,Chinese,224.2
Female,35-39,2012,Malaysian citizens,Indians,67.7
Female,35-39,2012,Malaysian citizens,Others,5.8
Female,35-39,2012,Non-Malaysian citizens,Foreigner,104.9
Female,40-44,2012,Malaysian citizens,Bumiputera,527.3
Female,40-44,2012,Malaysian citizens,Chinese,228.2
Female,40-44,2012,Malaysian citizens,Indians,66.5
Female,40-44,2012,Malaysian citizens,Others,5.4
Female,40-44,2012,Non-Malaysian citizens,Foreigner,74
Female,45-49,2012,Malaysian citizens,Bumiputera,481.9
Female,45-49,2012,Malaysian citizens,Chinese,215.7
Female,45-49,2012,Malaysian citizens,Indians,64.2
Female,45-49,2012,Malaysian citizens,Others,4.9
Female,45-49,2012,Non-Malaysian citizens,Foreigner,44.6
Female,50-54,2012,Malaysian citizens,Bumiputera,418.5
Female,50-54,2012,Malaysian citizens,Chinese,194.4
Female,50-54,2012,Malaysian citizens,Indians,58.6
Female,50-54,2012,Malaysian citizens,Others,4.1
Female,50-54,2012,Non-Malaysian citizens,Foreigner,28
Female,55-59,2012,Malaysian citizens,Bumiputera,333.1
Female,55-59,2012,Malaysian citizens,Chinese,167.8
Female,55-59,2012,Malaysian citizens,Indians,46.9
Female,55-59,2012,Malaysian citizens,Others,2.9
Female,55-59,2012,Non-Malaysian citizens,Foreigner,16.9
Female,60-64,2012,Malaysian citizens,Bumiputera,251.5
Female,60-64,2012,Malaysian citizens,Chinese,142.6
Female,60-64,2012,Malaysian citizens,Indians,35.8
